Symbol,Security,GICS Sector,GICS Sub-Industry
MPWR,MPWR,Unknown,Unknown
MRK,MRK,Unknown,Unknown
MRNA,MRNA,Unknown,Unknown
MRVL,MRVL,Unknown,Unknown
MS,MS,Unknown,Unknown
MSCI,MSCI,Unknown,Unknown
MSFT,MSFT,Unknown,Unknown
MSI,MSI,Unknown,Unknown
MTB,MTB,Unknown,Unknown
MTD,MTD,Unknown,Unknown
MU,MU,Unknown,Unknown
NCLH,NCLH,Unknown,Unknown
NDAQ,NDAQ,Unknown,Unknown
NDSN,NDSN,Unknown,Unknown
NEE,NEE,Unknown,Unknown
NEM,NEM,Unknown,Unknown
NFLX,NFLX,Unknown,Unknown
NI,NI,Unknown,Unknown
NKE,NKE,Unknown,Unknown
NOC,NOC,Unknown,Unknown
NOW,NOW,Unknown,Unknown
NRG,NRG,Unknown,Unknown
NSC,NSC,Unknown,Unknown
NTAP,NTAP,Unknown,Unknown
NTRS,NTRS,Unknown,Unknown
NUE,NUE,Unknown,Unknown
NVDA,NVDA,Unknown,Unknown
NVR,NVR,Unknown,Unknown
NWS,NWS,Unknown,Unknown
NWSA,NWSA,Unknown,Unknown
NXPI,NXPI,Unknown,Unknown
O,O,Unknown,Unknown
ODFL,ODFL,Unknown,Unknown
OKE,OKE,Unknown,Unknown
OMC,OMC,Unknown,Unknown
ON,ON,Unknown,Unknown
ORCL,ORCL,Unknown,Unknown
ORLY,ORLY,Unknown,Unknown
OTIS,OTIS,Unknown,Unknown
OXY,OXY,Unknown,Unknown
PANW,PANW,Unknown,Unknown
PAYC,PAYC,Unknown,Unknown
PAYX,PAYX,Unknown,Unknown
PCAR,PCAR,Unknown,Unknown
PCG,PCG,Unknown,Unknown
PEG,PEG,Unknown,Unknown
PEP,PEP,Unknown,Unknown
PFE,PFE,Unknown,Unknown
PFG,PFG,Unknown,Unknown
PG,PG,Unknown,Unknown
PGR,PGR,Unknown,Unknown
PH,PH,Unknown,Unknown
PHM,PHM,Unknown,Unknown
PKG,PKG,Unknown,Unknown
PLD,PLD,Unknown,Unknown
PLTR,PLTR,Unknown,Unknown
PM,PM,Unknown,Unknown
PNC,PNC,Unknown,Unknown
PNR,PNR,Unknown,Unknown
PODD,PODD,Unknown,Unknown
POOL,POOL,Unknown,Unknown
PPG,PPG,Unknown,Unknown
PPL,PPL,Unknown,Unknown
PRU,PRU,Unknown,Unknown
PSA,PSA,Unknown,Unknown
PSX,PSX,Unknown,Unknown
PTC,PTC,Unknown,Unknown
PWR,PWR,Unknown,Unknown
PYPL,PYPL,Unknown,Unknown
QCOM,QCOM,Unknown,Unknown
QRVO,QRVO,Unknown,Unknown
RCL,RCL,Unknown,Unknown
REG,REG,Unknown,Unknown
REGN,REGN,Unknown,Unknown
RF,RF,Unknown,Unknown
RJF,RJF,Unknown,Unknown
RL,RL,Unknown,Unknown
RMD,RMD,Unknown,Unknown
ROK,ROK,Unknown,Unknown
ROL,ROL,Unknown,Unknown
ROP,ROP,Unknown,Unknown
ROST,ROST,Unknown,Unknown
RSG,RSG,Unknown,Unknown
RTX,RTX,Unknown,Unknown
RVTY,RVTY,Unknown,Unknown
SBAC,SBAC,Unknown,Unknown
SBUX,SBUX,Unknown,Unknown
SCHW,SCHW,Unknown,Unknown
SHW,SHW,Unknown,Unknown
SJM,SJM,Unknown,Unknown
SLB,SLB,Unknown,Unknown
SMCI,SMCI,Unknown,Unknown
SNA,SNA,Unknown,Unknown
SNPS,SNPS,Unknown,Unknown
SO,SO,Unknown,Unknown
SOLV,SOLV,Unknown,Unknown
SPG,SPG,Unknown,Unknown
SPGI,SPGI,Unknown,Unknown
SRE,SRE,Unknown,Unknown
STE,STE,Unknown,Unknown
STLD,STLD,Unknown,Unknown
STT,STT,Unknown,Unknown
STX,STX,Unknown,Unknown
STZ,STZ,Unknown,Unknown
SW,SW,Unknown,Unknown
SWK,SWK,Unknown,Unknown
SWKS,SWKS,Unknown,Unknown
SYF,SYF,Unknown,Unknown
SYK,SYK,Unknown,Unknown
SYY,SYY,Unknown,Unknown
T,T,Unknown,Unknown
TAP,TAP,Unknown,Unknown
TDG,TDG,Unknown,Unknown
TDY,TDY,Unknown,Unknown
TECH,TECH,Unknown,Unknown
TEL,TEL,Unknown,Unknown
TER,TER,Unknown,Unknown
TFC,TFC,Unknown,Unknown
TFX,TFX,Unknown,Unknown
TGT,TGT,Unknown,Unknown
TJX,TJX,Unknown,Unknown
TMO,TMO,Unknown,Unknown
TMUS,TMUS,Unknown,Unknown
TPL,TPL,Unknown,Unknown
TRGP,TRGP,Unknown,Unknown
TRMB,TRMB,Unknown,Unknown
TROW,TROW,Unknown,Unknown
TRV,TRV,Unknown,Unknown
TSCO,TSCO,Unknown,Unknown
TSLA,TSLA,Unknown,Unknown
TSN,TSN,Unknown,Unknown
TT,TT,Unknown,Unknown
TTWO,TTWO,Unknown,Unknown
TXN,TXN,Unknown,Unknown
TXT,TXT,Unknown,Unknown
TYL,TYL,Unknown,Unknown
UAL,UAL,Unknown,Unknown
UBER,UBER,Unknown,Unknown
UDR,UDR,Unknown,Unknown
UHS,UHS,Unknown,Unknown
ULTA,ULTA,Unknown,Unknown
UNH,UNH,Unknown,Unknown
UNP,UNP,Unknown,Unknown
UPS,UPS,Unknown,Unknown
URI,URI,Unknown,Unknown
USB,USB,Unknown,Unknown
V,V,Unknown,Unknown
VICI,VICI,Unknown,Unknown
VLO,VLO,Unknown,Unknown
VLTO,VLTO,Unknown,Unknown
VMC,VMC,Unknown,Unknown
VRSK,VRSK,Unknown,Unknown
VRSN,VRSN,Unknown,Unknown
VRTX,VRTX,Unknown,Unknown
VST,VST,Unknown,Unknown
VTR,VTR,Unknown,Unknown
VTRS,VTRS,Unknown,Unknown
VZ,VZ,Unknown,Unknown
WAB,WAB,Unknown,Unknown
WAT,WAT,Unknown,Unknown
WBA,WBA,Unknown,Unknown
WBD,WBD,Unknown,Unknown
WDC,WDC,Unknown,Unknown
WEC,WEC,Unknown,Unknown
WELL,WELL,Unknown,Unknown
WFC,WFC,Unknown,Unknown
WM,WM,Unknown,Unknown
WMB,WMB,Unknown,Unknown
WMT,WMT,Unknown,Unknown
WRB,WRB,Unknown,Unknown
WST,WST,Unknown,Unknown
WTW,WTW,Unknown,Unknown
WY,WY,Unknown,Unknown
WYNN,WYNN,Unknown,Unknown
XEL,XEL,Unknown,Unknown
XOM,XOM,Unknown,Unknown
XYL,XYL,Unknown,Unknown
YUM,YUM,Unknown,Unknown
ZBH,ZBH,Unknown,Unknown
ZBRA,ZBRA,Unknown,Unknown
ZTS,ZTS,Unknown,Unknown
